Date (yy/mm/dd),Name,,[TMAl] Mass (Grams),[TMAl] Time (Seconds),[TMAl] Total Mass (Grams),[TMAl] Total Time (Seconds), ,[TMGa] Mass (Grams),[TMGa] Time (Seconds),[TMGa] Total Mass (Grams),[TMGa] Total Time (Seconds)
2023-02-01,Bubbler Datalog,,0.0,0,0.014513221826333855,7966.0,,0.0,0,3.6968777407288496,82618.0
2023-02-01,S194 Datalog,,0.0,0,,,,0.2510495394556121,4308,,
2023-06-16,S183 Datalog,,0.0,0,,,,0.031122150427996688,1403,,
2023-06-19,S184 Datalog,,0.0,0,,,,0.031311758388063556,1395,,
2023-06-21,S185 Datalog,,0.0,0,,,,0.2503086957546857,4314,,
2023-06-22,S186 Datalog,,0.0,0,,,,0.25000628150417276,4308,,
2023-06-23,S187 Datalog,,0.0,0,,,,0.25006127082214813,4308,,
2023-07-11,S188 Datalog,,0.0,0,,,,0.255369916219175,4260,,
2023-07-12,S189 Datalog,,0.0,0,,,,0.26036783141895503,4352,,
2023-07-14,S190 Datalog,,0.0,0,,,,0.2654787869409108,4440,,
2023-09-01,S191 HT GaN Datalog,,0.0,0,,,,0.008493397589119283,426,,
2024-01-25,Bake Datalog,,0.0,0,,,,0.0,0,,
2024-01-26,01 Idle Datalog,,0.0,0,,,,0.0,0,,
2024-01-26,02 Bake Datalog,,0.0,0,,,,0.0,0,,
2024-01-26,03 Transient Datalog,,0.0,0,,,,0.0,0,,
2024-01-29,01 Startup Datalog,,0.0,0,,,,0.0,0,,
2024-01-29,02 FSM Balance rev1 Fail Datalog,,0.0,0,,,,0.0,0,,
2024-01-29,03 FSM Balance rev2 Datalog,,0.0,0,,,,0.0,0,,
2024-01-29,04 Weekend Datalog,,0.0,0,,,,0.0,0,,
2024-01-30,S192 Datalog,,0.0,0,,,,0.031200378865230062,1380,,
2024-01-31,Bubbler Datalog,,0.0,0,,,,0.0,0,,
2024-01-31,S193 Datalog,,0.0,0,,,,0.031225535883581523,1380,,
2024-02-01,Bubbler Datalog,,0.0,0,,,,0.0,0,,
2024-02-01,S194 Datalog,,0.0,0,,,,0.2510495394556121,4308,,
2024-02-06,S195 Datalog,,0.0,0,,,,0.25106192213572975,4308,,
2024-02-13,S196 Datalog,,0.0,0,,,,0.031139695093519482,1380,,
2024-02-14,S197 Datalog,,0.0,0,,,,0.031181038560152866,1380,,
2024-02-21,Bake Datalog,,0.0,0,,,,0.0,0,,
2024-02-21,S198 Datalog,,0.0,0,,,,0.031041565394817373,1380,,
2024-02-21,S199 Datalog,,0.0,0,,,,0.031049460211156652,1380,,
2024-02-23,S200 Datalog,,0.0,0,,,,0.031043042577135936,1380,,
2024-02-23,S201 Datalog,,0.0,0,,,,0.03104848887518154,1380,,
2024-03-04,Long IDLE Datalog,,0.0,0,,,,0.0,0,,
2024-03-07,S202 Datalog,,0.0026659491008296132,1440,,,,0.0,0,,
2024-03-12,S204 Attempt 1 Datalog,,0.0,0,,,,0.0,0,,
2024-03-12,S204 Attempt 2 Datalog,,0.0,0,,,,0.0,0,,
2024-03-12,S205 Datalog,,0.0026602903173957473,1440,,,,0.0,0,,
2024-03-14,S206 Attempt 1 Datalog,,0.0,0,,,,0.0,0,,
2024-03-14,S206 Attempt 2 Datalog,,0.0,0,,,,0.0,0,,
2024-03-21,S208 Datalog,,0.002607133156193079,1442,,,,0.07521488458822745,1200,,
2024-03-26,S209 Datalog,,0.0,0,,,,0.0,0,,
2024-03-27,S210 Datalog,,0.0026013142818222547,1440,,,,0.2446041897993288,3900,,
2024-04-11,S211 Datalog,,0.0,0,,,,0.2533756329096365,4308,,
2024-04-30,S212 Datalog,,0.0,0,,,,0.0321612013968877,1380,,
2024-05-01,N2 BakeDatalog,,0.0,0,,,,0.032163801594512736,1380,,
2024-05-01,S213 Datalog,,0.0,0,,,,0.0,0,,
2024-05-03,S214 Datalog,,0.0,0,,,,0.03218200899319539,1380,,
2024-05-03,S215 Datalog,,0.0,0,,,,0.03214027035073416,1380,,
2024-05-03,S216 Datalog,,0.0,0,,,,0.03216999855517525,1380,,
2024-05-06,N2 Bake Datalog,,0.0,0,,,,0.0,0,,
2024-05-07,S217 Datalog,,0.0,0,,,,0.0321643459630664,1380,,
2024-05-07,S218 Datalog,,0.0,0,,,,0.032168661310198375,1380,,
2024-05-07,S219 Datalog,,0.0,0,,,,0.03216864436672711,1380,,
2024-05-08,N2 Bake Datalog,,0.0,0,,,,0.0,0,,
2024-05-08,S220 Datalog,,0.0,0,,,,0.032167908749000135,1380,,
2024-05-08,S221 Datalog,,0.0,0,,,,0.03216732651081402,1380,,
2024-05-15,Bake FailDatalog,,0.0,0,,,,0.0,0,,
2024-05-15,S222 Datalog,,0.0,0,,,,0.032159743513330154,1380,,
2024-05-16,N2 Bake LongDatalog,,0.0,0,,,,0.0,0,,
2024-05-16,S223 Datalog,,0.0,0,,,,0.03217806260392691,1380,,
2024-06-20,S251 Datalog,,0.000972688208843998,539,,,,0.09536885118875675,1860,,
2024-06-28,S256 Datalog,,0.0010019728423782976,555,,,,0.012573107701165927,540,,
2024-06-28,S257 Datalog,,0.0010018198907019637,555,,,,0.012565688509999758,540,,
2024-06-28,S258 Datalog,,0.0010020540281689009,555,,,,0.01257311655120995,540,,
